SHARK_ID,DATE_CAP,DAYS_CAP,DATE_START,PAT_END,SPOT_END,DEPLOY_DAYS,PAT_MODEL,PAT_ID,PAT_PTT,PAT_DEPLOY_ID,PAT_MANUFACTURER_ID,SPOT_MODEL,SPOT_ID,SPOT_PTT,SPOT_DEPLOY_ID,SPOT_MANUFACTURER_ID,ACOUSTIC_ID,PAT_RECOVERY,PAT_DATA_TRANS,SPOT_DATA_TRANS,DATA_BINNED,DATA_TS,TBL_cm,SEX,INTERACTION,CAPTURE_GEAR,TARGET FISHERY,LOCATION_REL,LAT_REL,LON_REL,DIST_KM,LAT_END_PAT,LON_END_PAT,DIST_PAT,LAT_END_SPOT,LON_END_SPOT,DIST_SPOT,COMMENTS
02_01,2/07/2001,0,2/07/2001,12/08/2001,ND,41,PAT2,01P0061,18616,02_01-18616,5efb6b8f6321be14f4b6943c,ND,ND,ND,ND,ND,ND,YES,NO,ND,YES,NO,147,F,research,"gillnet, general",NA,"Ormond Beach, California USA",34.08,-119.23,26,34.25,-119.42,25.747,ND,ND,ND,From Kevin Weng from Channel Islands Harbor
03_01,29/07/2003,0,29/07/2003,30/09/2003,ND,63,PAT2,02-657,3265,03_01-3265,5efb6bae6321be14f4b6943d,ND,ND,ND,ND,ND,ND,YES,NO,ND,YES,NO,155,F,research,"gillnet, general",NA,"Malibu, California USA",34.01,-118.77,34,33.85,-118.45,34.47,ND,ND,ND,"From Kevin Weng, tagged in Ventura, popped in Hermosa"
03_02,8/09/2003,0,8/09/2003,7/11/2003,ND,60,MK10,02-638,2994,03_02-2994,5efd12616321be0678958874,ND,ND,ND,ND,ND,ND,NO,YES,ND,YES,NO,156,M,research,"gillnet, general",NA,"Long Beach, California USA",33.68,-118.23,688,28.49,-114.29,688.188,ND,ND,ND,"From kevin Weng, tagged in Long Beach, popped in Vizcanio"
03_03,20/10/2003,0,20/10/2003,26/11/2003,ND,37,PAT2,02-674,10565,03_03-10565,5efd129f6321be06789588e3,ND,ND,ND,ND,ND,ND,YES,NO,ND,YES,NO,155,M,research,"gillnet, general",NA,"Port Hueneme, California USA",34.13,-119.23,332,31.92,-116.83,332.32,ND,ND,ND,"From Kevin Weng, Tagged of Port Hueneme popped in Ensenada"
04_01,11/08/2004,0,11/08/2004,25/01/2005,ND,167,PAT4,04-139,52914,04_01-52914,5f7756d06321be1448c04f41,ND,ND,ND,ND,ND,ND,NO,YES,ND,YES,NO,248,F,research,"gillnet, general",NA,"Will Rogers Beach, California USA",34.03,-118.54,17,33.88,-118.5,17.082,ND,ND,ND,"From Kevin Weng, Tagged off Will Rogers, popped of El Segundo"
04_02,12/08/2004,8,20/08/2004,10/02/2005,ND,174,PAT4,04-140,52915,04_02-52915,5efd87a16321be06789595f1,ND,ND,ND,ND,ND,ND,YES,NO,ND,YES,NO,250,F,research,"gillnet, general",NA,"Will Rogers Beach, California USA",34.03,-118.54,587,37.98,-122.87,586.891,ND,ND,ND,"From Kevin Weng, Tagged off Will Rogers, popped off Point Reyes"
05_01,31/03/2005,0,31/03/2005,30/04/2005,ND,30,PAT4,04-529,54567,05_01-54567,5efd857b6321be06789595cb,ND,ND,ND,ND,ND,ND,YES,YES,ND,YES,NO,184,F,research,"gillnet, general",NA,"Pacific Grove, California, USA",36.66,-121.92,241,34.585,-121.139,241.284,ND,ND,ND,From Kevin Weng 
06_05,14/07/2006,0,14/07/2006,ND,19/08/2006,36,ND,ND,ND,ND,ND,SPOT5,06S0053,65865,06_05-65865,5f0518956321be0c6027d9a0,ND,ND,ND,YES,ND,ND,140,F,"fishery, commercial","gillnet, drift",white sea bass,"Leadbetter Beach, California, USA",34.38,-119.667,37,ND,ND,ND,34.191,-119.329,37.5,Tracked until the 18 Aug
06_10,17/08/2006,151,15/01/2007,15/04/2007,ND,90,MK10,05A0376,40564,06_10-40564,5efd85b96321be06789595d1,ND,ND,ND,ND,ND,ND,YES,YES,ND,YES,NO,174,M,research,hook and line,NA,"Pacific Grove, California, USA",36.654,-121.935,1961,22.89,-109.158,1961.41,ND,ND,ND,"Hook and Line Aquarium Shark, released off Mazatlan"
06_12,21/09/2006,0,21/09/2006,ND,10/12/2006,80,ND,ND,ND,ND,ND,SPOT5,06S0054,65866,06_12-65866,5f0518b36321be0c6027da50,ND,ND,ND,YES,ND,ND,149,F,"fishery, commercial","gillnet, general",white sea bass,"McGrath State Beach, California, USA",34.228,-119.334,138,ND,ND,ND,33.576,-118.066,137.7,Last Detected Dec 10 off Dana Point
06_13,27/09/2006,0,27/09/2006,ND,19/10/2006,22,ND,ND,ND,ND,ND,SPOT5,06S0055,66877,06_13-66877,5f0518d56321be0c6027db29,ND,ND,ND,YES,ND,ND,148,F,research,"gillnet, general",NA,"Harbor Cove Beach, California, USA",34.247,-119.288,312,ND,ND,ND,32.241,-116.937,312.3,This shark was killed in Puerto Nuevo  ~ Oct 18 2006
